,Drug,Year of Drug Seizure,KG Equivalent,President
715,Heroin,1980,229.970993,James (Jimmy) Carter
716,Opium,1980,20.0,James (Jimmy) Carter
1434,Heroin,1981,151.0,James (Jimmy) Carter
1435,Opium,1981,69.0,James (Jimmy) Carter
2111,Heroin,1982,275.9859924,Ronald Reagan
2112,Illicit morphine,1982,0.033,Ronald Reagan
2113,Opium,1982,120.0,Ronald Reagan
2852,Heroin,1983,300.3720093,Ronald Reagan
2853,Opium,1983,16.08699989,Ronald Reagan
2854,Other illicit opioids,1983,0.080625001,Ronald Reagan
2856,Opium,1983,0.059999999,Ronald Reagan
3639,Heroin,1984,385.0429993,Ronald Reagan
3640,Opium,1984,8.012999535,Ronald Reagan
4465,Opium,1985,17.09000015,Ronald Reagan
4464,Illicit morphine,1985,9.017000198,Ronald Reagan
4463,Heroin,1985,419.0969849,Ronald Reagan
5260,Heroin,1986,410.3999939,Ronald Reagan
5261,Opium,1986,11.14999962,Ronald Reagan
6077,Heroin,1987,501.006012,Ronald Reagan
6078,Opium,1987,43.03499985,Ronald Reagan
6868,Heroin,1988,740.0300293,Ronald Reagan
6869,Opium,1988,15.32999992,Ronald Reagan
7681,Heroin,1989,959.2089844,Ronald Reagan
7682,Illicit morphine,1989,10.14510015,Ronald Reagan
7683,Opium,1989,9.420000076,Ronald Reagan
7684,Other illicit opioids,1989,1.521800023,Ronald Reagan
8504,Other illicit opioids,1990,2.249400034,George H.W. Bush
8509,Heroin,1990,565.0,George H.W. Bush
8510,Illicit morphine,1990,2.703999996,George H.W. Bush
8511,Opium,1990,41.0,George H.W. Bush
9356,Opium,1991,232.0,George H.W. Bush
9355,Heroin,1991,1376.0,George H.W. Bush
10253,Heroin,1992,1241.0,George H.W. Bush
10254,Illicit morphine,1992,1.406999946,George H.W. Bush
10255,Opium,1992,593.0,George H.W. Bush
10256,Other illicit opioids,1992,0.67900002,George H.W. Bush
11098,Heroin,1993,1423.400024,George H.W. Bush
11099,Illicit morphine,1993,4.736999989,George H.W. Bush
11100,Opium,1993,1550.800049,George H.W. Bush
12157,Poppy plants,1994,37.55500031,William (Bill) Clinton
12153,Illicit morphine,1994,39.20399857,William (Bill) Clinton
12148,Heroin,1994,1293.599976,William (Bill) Clinton
13290,Other illicit opioids,1995,0.485775007,William (Bill) Clinton
13295,Heroin,1995,1337.099976,William (Bill) Clinton
13296,Illicit morphine,1995,0.120999999,William (Bill) Clinton
13297,Opium,1995,42.07600021,William (Bill) Clinton
13298,Other illicit opioids,1995,0.071999997,William (Bill) Clinton
14429,Other illicit opioids,1996,6.111999989,William (Bill) Clinton
14428,Opium,1996,61.92499924,William (Bill) Clinton
14427,Illicit morphine,1996,0.081,William (Bill) Clinton
14417,Illicit morphine,1996,0.048200001,William (Bill) Clinton
14418,Other illicit opioids,1996,1.801875027,William (Bill) Clinton
14426,Heroin,1996,1366.300049,William (Bill) Clinton
15581,Illicit morphine,1997,0.056000001,William (Bill) Clinton
15584,Heroin,1997,1542.0,William (Bill) Clinton
15585,Illicit morphine,1997,0.006,William (Bill) Clinton
15586,Opium,1997,39.00999832,William (Bill) Clinton
15589,Poppy plants,1997,50.68500137,William (Bill) Clinton
15602,Poppy plants,1997,0.108999997,William (Bill) Clinton
16783,Heroin,1998,1580.699951,William (Bill) Clinton
18159,Illicit morphine,1999,3.134,William (Bill) Clinton
18160,Opium,1999,68.97,William (Bill) Clinton
18158,Heroin,1999,1200.0,William (Bill) Clinton
18153,Other illicit opioids,1999,0.233450003,William (Bill) Clinton
18149,Illicit morphine,1999,0.099800001,William (Bill) Clinton
18148,Heroin,1999,0.013101,William (Bill) Clinton
19566,Heroin,2000,1705.188,William (Bill) Clinton
19567,Illicit morphine,2000,180.108,William (Bill) Clinton
19587,Heroin,2000,1.850000024,William (Bill) Clinton
19588,Heroin,2000,0.01779,William (Bill) Clinton
19589,Illicit morphine,2000,15.72299957,William (Bill) Clinton
19590,Illicit morphine,2000,0.0134,William (Bill) Clinton
20857,Opium,2001,1051.0,William (Bill) Clinton
20856,Illicit morphine,2001,0.08118,William (Bill) Clinton
20858,Other illicit opioids,2001,5.0,William (Bill) Clinton
20847,Opium,2001,0.053700002,William (Bill) Clinton
20846,Heroin,2001,2601.066766,William (Bill) Clinton
20848,Other illicit opioids,2001,1.36742502,William (Bill) Clinton
22281,Opium,2002,1.048800042,George W. Bush
22273,Other illicit opioids,2002,43.0,George W. Bush
22282,Other illicit opioids,2002,1.811400027,George W. Bush
22271,Illicit morphine,2002,0.065200001,George W. Bush
22265,Heroin,2002,2783.499803,George W. Bush
22272,Opium,2002,1051.0,George W. Bush
23588,Heroin,2003,2484.334051,George W. Bush
23589,Other illicit opioids,2003,1.020775015,George W. Bush
23592,Other illicit opioids,2003,15.0,George W. Bush
23596,Illicit morphine,2003,1.687000025,George W. Bush
23597,Opium,2003,22996.0,George W. Bush
23605,Opium,2003,0.131100005,George W. Bush
24912,Illicit morphine,2004,1.0,George W. Bush
24903,Other illicit opioids,2004,14.0,George W. Bush
24913,Opium,2004,186.0,George W. Bush
24898,Heroin,2004,1892.926215,George W. Bush
24899,Other illicit opioids,2004,4.147125062,George W. Bush
26439,Heroin,2005,1888.801932,George W. Bush
26440,Other illicit opioids,2005,0.216725003,George W. Bush
26444,Other illicit opioids,2005,17.0,George W. Bush
26449,Illicit morphine,2005,0.165900002,George W. Bush
26455,Illicit morphine,2005,13.0,George W. Bush
26456,Opium,2005,6733.0,George W. Bush
27827,Opium,2006,273.0,George W. Bush
27828,Illicit morphine,2006,2.0,George W. Bush
27835,Illicit morphine,2006,0.322000005,George W. Bush
27839,Other illicit opioids,2006,14.86327522,George W. Bush
27843,Other illicit opioids,2006,26.0,George W. Bush
27824,Heroin,2006,2036.537558,George W. Bush
29192,Opium,2007,1538.0,George W. Bush
29193,Illicit morphine,2007,7.0,George W. Bush
29295,Heroin,2007,1856.0,George W. Bush
29186,Other illicit opioids,2007,60.0,George W. Bush
29180,Other illicit opioids,2007,9.598500143,George W. Bush
29184,Illicit morphine,2007,0.176700003,George W. Bush
30633,Opium,2008,332.0,George W. Bush
30634,Illicit morphine,2008,57.26,George W. Bush
30635,Other illicit opioids,2008,41.0,George W. Bush
30646,Illicit morphine,2008,0.0207,George W. Bush
30647,Other illicit opioids,2008,4.70037507,George W. Bush
30766,Heroin,2008,2107.0,George W. Bush
32143,Other illicit opioids,2009,7.789875116,George W. Bush
32144,Opium,2009,0.0051,George W. Bush
32151,Other illicit opioids,2009,22.0,George W. Bush
32152,Opium,2009,907.0,George W. Bush
32283,Heroin,2009,2555.0,George W. Bush
33833,Heroin,2010,3253.0,Barack Obama
33688,Pharmaceutical opioids,2010,53.72797364,Barack Obama
33687,Illicit morphine,2010,23.2375187,Barack Obama
33686,Opium,2010,1883.899161,Barack Obama
35293,Pharmaceutical opioids,2011,0.0004,Barack Obama
35281,Pharmaceutical opioids,2011,0.069700001,Barack Obama
35280,Pharmaceutical opioids,2011,8.6,Barack Obama
35279,Pharmaceutical opioids,2011,10.04875015,Barack Obama
35278,Pharmaceutical opioids,2011,15.66,Barack Obama
35473,Heroin,2011,4000.0,Barack Obama
35276,Illicit morphine,2011,2.6,Barack Obama
35275,Opium,2011,0.150600006,Barack Obama
35274,Opium,2011,2106.71,Barack Obama
35273,Opium,2011,7.689,Barack Obama
35272,Opium,2011,234.64,Barack Obama
35277,Illicit morphine,2011,0.245000004,Barack Obama
37271,Heroin,2012,4991.0,Barack Obama
36928,Pharmaceutical opioids,2012,0.169050003,Barack Obama
36927,Pharmaceutical opioids,2012,4.443,Barack Obama
36926,Pharmaceutical opioids,2012,8.850800132,Barack Obama
36924,Illicit morphine,2012,0.112900002,Barack Obama
36923,Illicit morphine,2012,24.0,Barack Obama
36922,Opium,2012,0.438900017,Barack Obama
36921,Opium,2012,3394.346,Barack Obama
36925,Pharmaceutical opioids,2012,16.195,Barack Obama
38862,Opium,2013,38351.65,Barack Obama
