,President,Party,Year of Drug Seizure,Years In Office,Drug,KG Equivalent
0,James (Jimmy) Carter,Democratic,1980,1977-1981,Heroin,229.970993
1,James (Jimmy) Carter,Democratic,1980,1977-1981,Opium,20.0
2,James (Jimmy) Carter,Democratic,1981,1977-1981,Heroin,151.0
3,James (Jimmy) Carter,Democratic,1981,1977-1981,Opium,69.0
4,Ronald Reagan,Republican,1982,1981-1989,Heroin,275.9859924
5,Ronald Reagan,Republican,1982,1981-1989,Illicit morphine,0.033
6,Ronald Reagan,Republican,1982,1981-1989,Opium,120.0
7,Ronald Reagan,Republican,1983,1981-1989,Heroin,300.3720093
8,Ronald Reagan,Republican,1983,1981-1989,Opium,16.08699989
9,Ronald Reagan,Republican,1983,1981-1989,Other illicit opioids,0.080625001
10,Ronald Reagan,Republican,1983,1981-1989,Opium,0.059999999
11,Ronald Reagan,Republican,1984,1981-1989,Heroin,385.0429993
12,Ronald Reagan,Republican,1984,1981-1989,Opium,8.012999535
13,Ronald Reagan,Republican,1985,1981-1989,Opium,17.09000015
14,Ronald Reagan,Republican,1985,1981-1989,Illicit morphine,9.017000198
15,Ronald Reagan,Republican,1985,1981-1989,Heroin,419.0969849
16,Ronald Reagan,Republican,1986,1981-1989,Heroin,410.3999939
17,Ronald Reagan,Republican,1986,1981-1989,Opium,11.14999962
18,Ronald Reagan,Republican,1987,1981-1989,Heroin,501.006012
19,Ronald Reagan,Republican,1987,1981-1989,Opium,43.03499985
20,Ronald Reagan,Republican,1988,1981-1989,Heroin,740.0300293
21,Ronald Reagan,Republican,1988,1981-1989,Opium,15.32999992
22,Ronald Reagan,Republican,1989,1981-1989,Heroin,959.2089844
23,Ronald Reagan,Republican,1989,1981-1989,Illicit morphine,10.14510015
24,Ronald Reagan,Republican,1989,1981-1989,Opium,9.420000076
25,Ronald Reagan,Republican,1989,1981-1989,Other illicit opioids,1.521800023
26,George H.W. Bush,Republican,1990,1989-1993,Other illicit opioids,2.249400034
27,George H.W. Bush,Republican,1990,1989-1993,Heroin,565.0
28,George H.W. Bush,Republican,1990,1989-1993,Illicit morphine,2.703999996
29,George H.W. Bush,Republican,1990,1989-1993,Opium,41.0
30,George H.W. Bush,Republican,1991,1989-1993,Opium,232.0
31,George H.W. Bush,Republican,1991,1989-1993,Heroin,1376.0
32,George H.W. Bush,Republican,1992,1989-1993,Heroin,1241.0
33,George H.W. Bush,Republican,1992,1989-1993,Illicit morphine,1.406999946
34,George H.W. Bush,Republican,1992,1989-1993,Opium,593.0
35,George H.W. Bush,Republican,1992,1989-1993,Other illicit opioids,0.67900002
36,George H.W. Bush,Republican,1993,1989-1993,Heroin,1423.400024
37,George H.W. Bush,Republican,1993,1989-1993,Illicit morphine,4.736999989
38,George H.W. Bush,Republican,1993,1989-1993,Opium,1550.800049
39,William (Bill) Clinton,Democratic,1994,1993-2001,Poppy plants,37.55500031
40,William (Bill) Clinton,Democratic,1994,1993-2001,Illicit morphine,39.20399857
41,William (Bill) Clinton,Democratic,1994,1993-2001,Heroin,1293.599976
42,William (Bill) Clinton,Democratic,1995,1993-2001,Other illicit opioids,0.485775007
43,William (Bill) Clinton,Democratic,1995,1993-2001,Heroin,1337.099976
44,William (Bill) Clinton,Democratic,1995,1993-2001,Illicit morphine,0.120999999
45,William (Bill) Clinton,Democratic,1995,1993-2001,Opium,42.07600021
46,William (Bill) Clinton,Democratic,1995,1993-2001,Other illicit opioids,0.071999997
47,William (Bill) Clinton,Democratic,1996,1993-2001,Other illicit opioids,6.111999989
48,William (Bill) Clinton,Democratic,1996,1993-2001,Opium,61.92499924
49,William (Bill) Clinton,Democratic,1996,1993-2001,Illicit morphine,0.081
50,William (Bill) Clinton,Democratic,1996,1993-2001,Illicit morphine,0.048200001
51,William (Bill) Clinton,Democratic,1996,1993-2001,Other illicit opioids,1.801875027
52,William (Bill) Clinton,Democratic,1996,1993-2001,Heroin,1366.300049
53,William (Bill) Clinton,Democratic,1997,1993-2001,Illicit morphine,0.056000001
54,William (Bill) Clinton,Democratic,1997,1993-2001,Heroin,1542.0
55,William (Bill) Clinton,Democratic,1997,1993-2001,Illicit morphine,0.006
56,William (Bill) Clinton,Democratic,1997,1993-2001,Opium,39.00999832
57,William (Bill) Clinton,Democratic,1997,1993-2001,Poppy plants,50.68500137
58,William (Bill) Clinton,Democratic,1997,1993-2001,Poppy plants,0.108999997
59,William (Bill) Clinton,Democratic,1998,1993-2001,Heroin,1580.699951
60,William (Bill) Clinton,Democratic,1999,1993-2001,Illicit morphine,3.134
61,William (Bill) Clinton,Democratic,1999,1993-2001,Opium,68.97
62,William (Bill) Clinton,Democratic,1999,1993-2001,Heroin,1200.0
63,William (Bill) Clinton,Democratic,1999,1993-2001,Other illicit opioids,0.233450003
64,William (Bill) Clinton,Democratic,1999,1993-2001,Illicit morphine,0.099800001
65,William (Bill) Clinton,Democratic,1999,1993-2001,Heroin,0.013101
66,William (Bill) Clinton,Democratic,2000,1993-2001,Heroin,1705.188
67,William (Bill) Clinton,Democratic,2000,1993-2001,Illicit morphine,180.108
68,William (Bill) Clinton,Democratic,2000,1993-2001,Heroin,1.850000024
69,William (Bill) Clinton,Democratic,2000,1993-2001,Heroin,0.01779
70,William (Bill) Clinton,Democratic,2000,1993-2001,Illicit morphine,15.72299957
71,William (Bill) Clinton,Democratic,2000,1993-2001,Illicit morphine,0.0134
72,William (Bill) Clinton,Democratic,2001,1993-2001,Opium,1051.0
73,William (Bill) Clinton,Democratic,2001,1993-2001,Illicit morphine,0.08118
74,William (Bill) Clinton,Democratic,2001,1993-2001,Other illicit opioids,5.0
75,William (Bill) Clinton,Democratic,2001,1993-2001,Opium,0.053700002
76,William (Bill) Clinton,Democratic,2001,1993-2001,Heroin,2601.066766
77,William (Bill) Clinton,Democratic,2001,1993-2001,Other illicit opioids,1.36742502
78,George W. Bush,Republican,2002,2001-2009,Opium,1.048800042
79,George W. Bush,Republican,2002,2001-2009,Other illicit opioids,43.0
80,George W. Bush,Republican,2002,2001-2009,Other illicit opioids,1.811400027
81,George W. Bush,Republican,2002,2001-2009,Illicit morphine,0.065200001
82,George W. Bush,Republican,2002,2001-2009,Heroin,2783.499803
83,George W. Bush,Republican,2002,2001-2009,Opium,1051.0
84,George W. Bush,Republican,2003,2001-2009,Heroin,2484.334051
